text,page,line
,26,
,26,
,26,
ford disappears into underemployment. Sorting storeroom boxes. Cleaning,26,ford disappears into underemployment. sorting storeroom boxes. cleaning
floors. Odd jobs leading from the Upper Midwest through the Great Plains,26,floors. odd jobs leading from the upper midwest through the great plains
"toward the high mountains. She has no affiliation, no access to equipment.",26,"toward the high mountains. she has no affiliation, no access to equipment."
"Nor does she try for lab positions or teaching stints, even when former col­",26,"nor does she try for lab positions or teaching stints, even when former col­"
leagues encourage her to apply. Pretty much all her old friends add her to,26,leagues encourage her to apply. pretty much all her old friends add her to
"the roster of science roadkill. In fact, she's busy learning a foreign language.",26,"the roster of science roadkill. in fact, she's busy learning a foreign language."
"   With few claims on her time and none on her soul, she turns back outside,",26,"   with few claims on her time and none on her soul, she turns back outside,"
"into the woods, the green negation of all careers. She no longer theorizes or",26,"into the woods, the green negation of all careers. she no longer theorizes or"
"speculates. Just watches, notes, and sketches into a stack of notebooks, her",26,"speculates. just watches, notes, and sketches into a stack of notebooks, her"
only persistent possessions aside from clothes. Her eyes go near and narrow.,26,only persistent possessions aside from clothes. her eyes go near and narrow.
"She camps out many nights with Muir, under the spruce and fir, completely",26,"she camps out many nights with muir, under the spruce and fir, completely"
"lost, turned wildly around by the smell of inland oceans, sleeping on beds of",26,"lost, turned wildly around by the smell of inland oceans, sleeping on beds of"
"thick lichen, sixteen inches of brown needle pillow, the living earth beneath",26,"thick lichen, sixteen inches of brown needle pillow, the living earth beneath"
"her bag, its fluid influence rising up into the fiber of her and all the towering",26,"her bag, its fluid influence rising up into the fiber of her and all the towering"
trunks that surround and watch over. The particle of her private selfrejoins,26,trunks that surround and watch over. the particle of her private selfrejoins
everything it has been split off from-the plan of runaway green. I only went,26,everything it has been split off from-the plan of runaway green. i only went
"out for a walk and finally concluded to stay out till sundown, for going out, I",26,"out for a walk and finally concluded to stay out till sundown, for going out, i"
"found, was really going in.",26,"found, was really going in."
   She reads Thoreau over wood fires at night. Shall I not have intelligence,26,   she reads thoreau over wood fires at night. shall i not have intelligence
with the earth? Am I not partly leaves and vegetable mould ntyselj? And: What,26,with the earth? am i not partly leaves and vegetable mould ntyselj? and: what
is this Titan that has possession ofme? Talk ofmysteries!-Think of our life in,26,is this titan that has possession ofme? talk ofmysteries!-think of our life in
"nature,-daily to be shown matter, to come in contact with it,-rocks, trees, wind",26,"nature,-daily to be shown matter, to come in contact with it,-rocks, trees, wind"
on our cheeks! the solid earth! the actual world! the common sense/ Contact!,26,on our cheeks! the solid earth! the actual world! the common sense/ contact!
Contact! Who are we? where are we?,26,contact! who are we? where are we?
   Now she drifts farther west. It's amazing how far a little war chest will,26,   now she drifts farther west. it's amazing how far a little war chest will
"go, once you learn how to forage. This country is awash in food free for the",26,"go, once you learn how to forage. this country is awash in food free for the"
eating. You just need to know where to look. She glimpses her own face,26,eating. you just need to know where to look. she glimpses her own face
"once, while splashing water on it in the bathroom of a service station near a",26,"once, while splashing water on it in the bathroom of a service station near a"
national forest in a state where she's the merest beginner. She looks marvel­,26,national forest in a state where she's the merest beginner. she looks marvel­
"ously weathered, old beyond her years. She has gone to seed. Soon she'll",26,"ously weathered, old beyond her years. she has gone to seed. soon she'll"
"start to scare people. Well, she has always scared people. Angry people",26,"start to scare people. well, she has always scared people. angry people"
who hated wildness took away her career. Frightened people mocked her,26,who hated wildness took away her career. frightened people mocked her
for saying that trees send messages to each other. She forgives them all. It's,26,for saying that trees send messages to each other. she forgives them all. it's
,26,
                            130   •   RICHARD POWERS,27,                            130   •   richard powers
,27,
,27,
,27,
nothing. What frightens people most will one day turn to wonder. And then,27,nothing. what frightens people most will one day turn to wonder. and then
people will do what four billion years have shaped them to do: stop and see,27,people will do what four billion years have shaped them to do: stop and see
just what it is they're seeing.,27,just what it is they're seeing.
   On a late fall afternoon she pulls her ancient beater over to the side of the,27,   on a late fall afternoon she pulls her ancient beater over to the side of the
"road along a stretch of the Fishlake Scenic Byway, on the western edge of the",27,"road along a stretch of the fishlake scenic byway, on the western edge of the"
Colorado Plateau in south-central Utah. She has followed back roads from,27,colorado plateau in south-central utah. she has followed back roads from
"Las Vegas, capital of clueless sinners, toward Salt Lake, capital of cunning",27,"las vegas, capital of clueless sinners, toward salt lake, capital of cunning"
saints. She gets out of the car and walks up into the trees on the crest west of,27,saints. she gets out of the car and walks up into the trees on the crest west of
"the road. Aspens stand in the afternoon sun, spreading along the ridge out",27,"the road. aspens stand in the afternoon sun, spreading along the ridge out"
of sight. Populus tremuloides. Clouds of gold leaf glint on thin trunks tinted,27,of sight. populus tremuloides. clouds of gold leaf glint on thin trunks tinted
"the palest green. The air is still, but the aspens shake as if in a wind. Aspens",27,"the palest green. the air is still, but the aspens shake as if in a wind. aspens"
alone quake when all others stand in dead calm. Long flattened leafstalks,27,alone quake when all others stand in dead calm. long flattened leafstalks
"twist at the slightest gust, and all around her, a million two-toned cadmium",27,"twist at the slightest gust, and all around her, a million two-toned cadmium"
mirrors flicker against righteous blue.,27,mirrors flicker against righteous blue.
   The oracle leaves turn the wind audible. They filter the dry light and fill,27,   the oracle leaves turn the wind audible. they filter the dry light and fill
"it with expectation. Trunks run straight and bare, roughed with age at the",27,"it with expectation. trunks run straight and bare, roughed with age at the"
"bottom, then smooth and whitening up to the first branches. Circles of pale",27,"bottom, then smooth and whitening up to the first branches. circles of pale"
"green lichen palette-spatter them. She stands inside this white-gray room, a",27,"green lichen palette-spatter them. she stands inside this white-gray room, a"
"pillared foyer to the afterlife. The air shivers in gold, and the ground is lit­",27,"pillared foyer to the afterlife. the air shivers in gold, and the ground is lit­"
tered with windfall and dead ramets. The ridge smells wide open and sere.,27,tered with windfall and dead ramets. the ridge smells wide open and sere.
The whole atmosphere is as good as a running mountain stream.,27,the whole atmosphere is as good as a running mountain stream.
"   Patricia Westerford hugs herself, and, for no reason, begins to cry. The",27,"   patricia westerford hugs herself, and, for no reason, begins to cry. the"
"tree of the Navajo sun house chant. The tree Hercules turned into a wreath,",27,"tree of the navajo sun house chant. the tree hercules turned into a wreath,"
"the one he sacrificed, when coming back from hell. The one whose brewed",27,"the one he sacrificed, when coming back from hell. the one whose brewed"
"leaves protected native hunters from evil. This, the most widely distributed",27,"leaves protected native hunters from evil. this, the most widely distributed"
"tree in North America with close kin on three continents, all at once feels",27,"tree in north america with close kin on three continents, all at once feels"
"unbearably rare. She has hiked through aspens far north into Canada, the",27,"unbearably rare. she has hiked through aspens far north into canada, the"
lone hardwood holdout in a latitude monotonous with conifer. Has sketched,27,lone hardwood holdout in a latitude monotonous with conifer. has sketched
their pale summer shades throughout New England and the Upper Midwest.,27,their pale summer shades throughout new england and the upper midwest.
"Has camped among them on hot, dry outcrops above gushing streams of",27,"has camped among them on hot, dry outcrops above gushing streams of"
"snowmelt, in the Rockies. Has found them etched with knowledge-encoded",27,"snowmelt, in the rockies. has found them etched with knowledge-encoded"
"native arborglyphs. Has lain on her back with her eyes closed, in far south­",27,"native arborglyphs. has lain on her back with her eyes closed, in far south­"
"western mountains, memorizing the tone of that restless shudder. Picking",27,"western mountains, memorizing the tone of that restless shudder. picking"
,27,
                              THE OVERSTORY   •   131,28,                              the overstory   •   131
,28,
,28,
,28,
"her way across these fallen branches, she hears it again. No other tree makes",28,"her way across these fallen branches, she hears it again. no other tree makes"
this sound.,28,this sound.
"   The aspens wave in their undetectable breeze, and she begins to see",28,"   the aspens wave in their undetectable breeze, and she begins to see"
"hidden things. High up on one trunk, she reads claw-gashes above her head,",28,"hidden things. high up on one trunk, she reads claw-gashes above her head,"
the cryptic writing of bears. But these slashes are old and rimmed with,28,the cryptic writing of bears. but these slashes are old and rimmed with
blackened scars; no bears have crossed these woods in a long time. Tangled,28,blackened scars; no bears have crossed these woods in a long time. tangled
"roots spill from the banks of a rivulet. She studies them, the exposed edge",28,"roots spill from the banks of a rivulet. she studies them, the exposed edge"
of a network of underground conduits conducting water and minerals across,28,of a network of underground conduits conducting water and minerals across
"dozens of acres, up the rise to other, seemingly separate stems that line the",28,"dozens of acres, up the rise to other, seemingly separate stems that line the"
rocky outcrops where wat�r is hard to find.,28,rocky outcrops where wat�r is hard to find.
"   At the height of the rise is a little clearing, slashed down with a chain",28,"   at the height of the rise is a little clearing, slashed down with a chain"
saw. Someone has been out improving things. She produces her loupe from,28,saw. someone has been out improving things. she produces her loupe from
her key chain and applies it to one stump to estimate the number of rings.,28,her key chain and applies it to one stump to estimate the number of rings.
"The oldest downed trees are about eighty years. She smiles at the number,",28,"the oldest downed trees are about eighty years. she smiles at the number,"
"so comical, for these fifty thousand baby trees all around her have sprouted",28,"so comical, for these fifty thousand baby trees all around her have sprouted"
from a rhizome mass too old to date even to the nearest hundred millennia.,28,from a rhizome mass too old to date even to the nearest hundred millennia.
"Underground, the eighty-year-old trunks are a hundred thousand, if they're",28,"underground, the eighty-year-old trunks are a hundred thousand, if they're"
"a day. She wouldn't be surprised if this great, joined, single clonal creature",28,"a day. she wouldn't be surprised if this great, joined, single clonal creature"
that looks like a forest has been around for the better part of a million years.,28,that looks like a forest has been around for the better part of a million years.
"   That's why she has stopped: to see one of the oldest, largest living things",28,"   that's why she has stopped: to see one of the oldest, largest living things"
on earth. All around her spreads one single male whose genetically identical,28,on earth. all around her spreads one single male whose genetically identical
"trunks cover more than a hundred acres. The thing is outlandish, beyond",28,"trunks cover more than a hundred acres. the thing is outlandish, beyond"
"her ability to wrap her head around. But then, as Dr. Westerford knows, the",28,"her ability to wrap her head around. but then, as dr. westerford knows, the"
"world's outlands are everywhere, and trees like to toy with human thought",28,"world's outlands are everywhere, and trees like to toy with human thought"
like boys toy with beetles.,28,like boys toy with beetles.
"   Across the road from where she's parked, aspens tumble down the basin",28,"   across the road from where she's parked, aspens tumble down the basin"
"toward Fish Lake, where five years earlier a Chinese refugee engineer took",28,"toward fish lake, where five years earlier a chinese refugee engineer took"
his three daughters camping on the way to visiting Yellowstone. The oldest,28,his three daughters camping on the way to visiting yellowstone. the oldest
"girl, named for a Puccini opera heroine, will soon be wanted by the feds for",28,"girl, named for a puccini opera heroine, will soon be wanted by the feds for"
fifty million dollars of arson.,28,fifty million dollars of arson.
"   Two thousand miles to the east, a student sculptor born into an Iowa",28,"   two thousand miles to the east, a student sculptor born into an iowa"
"farming family, on a pilgrimage to the Met, walks past the single quaking",28,"farming family, on a pilgrimage to the met, walks past the single quaking"
aspen in all of Central Park and doesn't notice it. He'll live to walk past the,28,aspen in all of central park and doesn't notice it. he'll live to walk past the
,28,
                           132   • RICHARD POWERS,29,                           132   • richard powers
,29,
,29,
,29,
"tree again, thirty years later, but only because of swearing to the Puccini",29,"tree again, thirty years later, but only because of swearing to the puccini"
"heroine that no matter how bad things get, he won't kill himself.",29,"heroine that no matter how bad things get, he won't kill himself."
"   To the north, up the curving spine of the Rockies, on a farm near Idaho",29,"   to the north, up the curving spine of the rockies, on a farm near idaho"
"Falls, a veteran airman, that very afternoon, builds horse stalls for a friend",29,"falls, a veteran airman, that very afternoon, builds horse stalls for a friend"
"from his old squadron.It's a pity hire, one that comes with room and board,",29,"from his old squadron.it's a pity hire, one that comes with room and board,"
"and the vet plans to leave the gig as soon as he can. But for today, he makes",29,"and the vet plans to leave the gig as soon as he can. but for today, he makes"
"the corral siding out of aspen. As poor as the wood is for lumber, it won't",29,"the corral siding out of aspen. as poor as the wood is for lumber, it won't"
shatter when a horse kicks it.,29,shatter when a horse kicks it.
"   In a St. Paul suburb not far from Lake Elmo, two aspens grow near the",29,"   in a st. paul suburb not far from lake elmo, two aspens grow near the"
south wall of an intellectual property lawyer's house. He's only dimly aware,29,south wall of an intellectual property lawyer's house. he's only dimly aware
"of them, and when his free-spirit girlfriend asks, he tells her they're birches.",29,"of them, and when his free-spirit girlfriend asks, he tells her they're birches."
"In time, two great strokes will lay the lawyer low, reducing all aspens,",29,"in time, two great strokes will lay the lawyer low, reducing all aspens,"
"birches, beeches, pines, oaks, and maples to a single word that will take him",29,"birches, beeches, pines, oaks, and maples to a single word that will take him"
half a minute to'.pronounce.,29,half a minute to'.pronounce.
"   On the West Coast, in the emerging Silicon Valley, a Gujarati-American",29,"   on the west coast, in the emerging silicon valley, a gujarati-american"
"boy and his father build primitive aspens out of chunky, black-and-white",29,"boy and his father build primitive aspens out of chunky, black-and-white"
pixels.They're writing a game that feels to the boy like walking through the,29,pixels.they're writing a game that feels to the boy like walking through the
forest primeval.,29,forest primeval.
   These people are nothing to Plant-Patty. And yet their lives have long,29,   these people are nothing to plant-patty. and yet their lives have long
"been connected, deep underground.Their kinship will work like an unfold­",29,"been connected, deep underground.their kinship will work like an unfold­"
"ing book. The past always comes clearer, in the future.",29,"ing book. the past always comes clearer, in the future."
"   Years from now, she'll write a book of her own, The Secret Forest. Its",29,"   years from now, she'll write a book of her own, the secret forest. its"
opening page will read:,29,opening page will read:
,29,
,29,
          You and the tree in your backyard come from a common,29,          you and the tree in your backyard come from a common
"      ancestor.A billion and a half years ago, the two of you parted",29,"      ancestor.a billion and a half years ago, the two of you parted"
"       ways. But even now, after an immense journey in separate",29,"       ways. but even now, after an immense journey in separate"
"       directions, that tree and you still share a quarter of your",29,"       directions, that tree and you still share a quarter of your"
       genes....,29,       genes....
,29,
,29,
"   She stands in the clearing at the top of the rise, looking out over a shallow",29,"   she stands in the clearing at the top of the rise, looking out over a shallow"
"gully. Aspens everywhere, and it boggles her mind that not one of them has",29,"gully. aspens everywhere, and it boggles her mind that not one of them has"
"grown from seed.All through this part of the West, few aspens have done so",29,"grown from seed.all through this part of the west, few aspens have done so"
,29,
                             THE OVERSTORY   •   133,30,                             the overstory   •   133
,30,
,30,
,30,
"in ten thousand years. Long ago, the climate changed, and an aspen's seeds",30,"in ten thousand years. long ago, the climate changed, and an aspen's seeds"
can no longer thrive here. But they propagate by root; they spread. There,30,can no longer thrive here. but they propagate by root; they spread. there
"are aspen colonies up north where the ice sheets were, older than the sheets",30,"are aspen colonies up north where the ice sheets were, older than the sheets"
themselves. The motionless trees are migrating-immortal stands of aspen,30,themselves. the motionless trees are migrating-immortal stands of aspen
"retreating before the latest two-mile-thick glaciers, then following them",30,"retreating before the latest two-mile-thick glaciers, then following them"
back north again. Life will not answer to reason. And meaning is too young,30,back north again. life will not answer to reason. and meaning is too young
a thing to have much power over it. All the drama of the world is gather­,30,a thing to have much power over it. all the drama of the world is gather­
ing underground-massed symphonic choruses that Patricia means to hear,30,ing underground-massed symphonic choruses that patricia means to hear
before she dies.,30,before she dies.
"   She looks out over the draw to guess which way her male, this giant aspen",30,"   she looks out over the draw to guess which way her male, this giant aspen"
"clone, might be headed. He has been roving around the hills and gullies in",30,"clone, might be headed. he has been roving around the hills and gullies in"
a ten-millennium search for a female quaking giant to fertilize. Something,30,a ten-millennium search for a female quaking giant to fertilize. something
on the next rise punches her in the chest. Carved out from the heart of the,30,on the next rise punches her in the chest. carved out from the heart of the
"spreading clone, a housing development sits among a ribbon of new roads.",30,"spreading clone, a housing development sits among a ribbon of new roads."
"Condos, a few days old, cut through several acres of the root system of one",30,"condos, a few days old, cut through several acres of the root system of one"
of the earth's most lavish things. Dr. Westerford closes her eyes. She has,30,of the earth's most lavish things. dr. westerford closes her eyes. she has
seen dieback across the West. Aspens are withering. Grazed on by every­,30,seen dieback across the west. aspens are withering. grazed on by every­
"thing with hooves, cut off from rejuvenating fire, whole groves are vanish­",30,"thing with hooves, cut off from rejuvenating fire, whole groves are vanish­"
"ing. Now she sees a forest, spreading across these mountains since before",30,"ing. now she sees a forest, spreading across these mountains since before"
"humans left Africa, giving way to second homes. She s�es it in one great",30,"humans left africa, giving way to second homes. she s�es it in one great"
"glimpse of flashing gold: trees and humans, at war over the land and water",30,"glimpse of flashing gold: trees and humans, at war over the land and water"
"and atmosphere. And she can hear, louder than the quaking leaves, which",30,"and atmosphere. and she can hear, louder than the quaking leaves, which"
side will lose by winning.,30,side will lose by winning.
,30,
,30,
,30,
"IN THE EARLY EIGHT IE s , Patricia heads northwest. Giants still grow in",30,"in the early eight ie s , patricia heads northwest. giants still grow in"
"the Lower 48, pockets of old growth scattered from Northern California on",30,"the lower 48, pockets of old growth scattered from northern california on"
"up to Washington. She means to see what uncut forest looks like, while there",30,"up to washington. she means to see what uncut forest looks like, while there"
is any left to see. The western Cascades in a damp September: nothing in her,30,is any left to see. the western cascades in a damp september: nothing in her
"experience prepares her. From mid-distance, with no clue for scale, the trees",30,"experience prepares her. from mid-distance, with no clue for scale, the trees"
seem no larger than the biggest sycamores and tulip poplars out East. But up,30,seem no larger than the biggest sycamores and tulip poplars out east. but up
"close the illusion disappears, and she's lost in reason's opposite. All she can",30,"close the illusion disappears, and she's lost in reason's opposite. all she can"
do is look and laugh and look some more.,30,do is look and laugh and look some more.
,30,
                          134   •   RICHARD POWERS,31,                          134   •   richard powers
,31,
,31,
,31,
"   Hemlock, grand fir, yellow cedar, Douglas-fir: buttressed monster coni­",31,"   hemlock, grand fir, yellow cedar, douglas-fir: buttressed monster coni­"
fers disappear in the mist above her. Sitka spruces bulge out in burls as big,31,fers disappear in the mist above her. sitka spruces bulge out in burls as big
"as minivans-pound for pound, a wood stronger than steel.A single trunk",31,"as minivans-pound for pound, a wood stronger than steel.a single trunk"
could fill a large logging truck. Even runts here are big enough to domi­,31,could fill a large logging truck. even runts here are big enough to domi­
"nate an eastern forest, and each acre holds at least five times as much wood.",31,"nate an eastern forest, and each acre holds at least five times as much wood."
"Beneath these giants, way down in the understory, her own body seems",31,"beneath these giants, way down in the understory, her own body seems"
"freakishly small, like one of those acorn-people she made in childhood. A",31,"freakishly small, like one of those acorn-people she made in childhood. a"
knothole in one of these columns of solidified air could be her home.,31,knothole in one of these columns of solidified air could be her home.
   Clicks and chatter disturb the cathedral hush.The air is so twilight-green,31,   clicks and chatter disturb the cathedral hush.the air is so twilight-green
"she feels like she's underwater. It rains particles-spore clouds, broken",31,"she feels like she's underwater. it rains particles-spore clouds, broken"
"webs and mammal dander, skeletonized mites, bits of insect frass and bird",31,"webs and mammal dander, skeletonized mites, bits of insect frass and bird"
"feather....Everything climbs over everything else, fighting for scraps of",31,"feather....everything climbs over everything else, fighting for scraps of"
"light.If she holds still too long, vines will overrun her.She walks in silence,",31,"light.if she holds still too long, vines will overrun her.she walks in silence,"
"crunching ten thousand invertebrates with every step, watching for tracks",31,"crunching ten thousand invertebrates with every step, watching for tracks"
in a place where at least one of the native languages uses the same word for,31,in a place where at least one of the native languages uses the same word for
footprint and understanding. The earth gives beneath her like a shot mattress.,31,footprint and understanding. the earth gives beneath her like a shot mattress.
   An exposed ridge takes her down into a basin. She swings her singing,31,   an exposed ridge takes her down into a basin. she swings her singing
"stick before her, and the temperature plummets as she passes through a ther­",31,"stick before her, and the temperature plummets as she passes through a ther­"
mal curtain. The canopy is a colander stippling the beetle-swarmed surfaces,31,mal curtain. the canopy is a colander stippling the beetle-swarmed surfaces
"with specks of sun. For every large trunk, a few hundred seedlings huddle in",31,"with specks of sun. for every large trunk, a few hundred seedlings huddle in"
"the litter. Sword fern, liverworts, lichen, and leaves as small as sand grains",31,"the litter. sword fern, liverworts, lichen, and leaves as small as sand grains"
"stain every inch of the dank, downed logs. The mosses are themselves as",31,"stain every inch of the dank, downed logs. the mosses are themselves as"
dense as thumbnail forests.,31,dense as thumbnail forests.
   She presses on fissures of bark and her fingers sink in knuckle-deep. A,31,   she presses on fissures of bark and her fingers sink in knuckle-deep. a
"bit of bushwhacking reveals the extent of the prodigious rot. Crumbling,",31,"bit of bushwhacking reveals the extent of the prodigious rot. crumbling,"
"creature-riddled boles, decaying for centuries. Snags gothic and twisted,",31,"creature-riddled boles, decaying for centuries. snags gothic and twisted,"
silvery as inverted icicles. She has never inhaled such fecund putrefaction.,31,silvery as inverted icicles. she has never inhaled such fecund putrefaction.
"The sheer mass of ever-dying life packed into each single cubic foot, woven",31,"the sheer mass of ever-dying life packed into each single cubic foot, woven"
together with fungal filaments and dew-betrayed spiderweb leaves her woozy.,31,together with fungal filaments and dew-betrayed spiderweb leaves her woozy.
Mushrooms ladder up the sides of trunks in terraced ledges.Dead salmon feed,31,mushrooms ladder up the sides of trunks in terraced ledges.dead salmon feed
"the trees. Soaked by fog all winter long, spongy green stuff she can't name",31,"the trees. soaked by fog all winter long, spongy green stuff she can't name"
covers every wooden pillar in thick baize reaching higher than her head.,31,covers every wooden pillar in thick baize reaching higher than her head.
"   Death is everywhere, oppressive and beautiful. She sees the source of",31,"   death is everywhere, oppressive and beautiful. she sees the source of"
,31,
                             THE OVERSTORY    •   ] 35,32,                             the overstory    •   ] 35
,32,
,32,
,32,
that forestry doctrine she so resisted in school. Looking at all this glorious,32,that forestry doctrine she so resisted in school. looking at all this glorious
"decay,a person might be forgiven for thinking that old meant decadent, that",32,"decay,a person might be forgiven for thinking that old meant decadent, that"
such thick mats of decomposition were cellulose cemeteries in need of the,32,such thick mats of decomposition were cellulose cemeteries in need of the
"rejuvenating ax.She sees why her kind will always dread these close,choked",32,"rejuvenating ax.she sees why her kind will always dread these close,choked"
"thickets, where the beauty of solo trees gives way to something massed,",32,"thickets, where the beauty of solo trees gives way to something massed,"
"scary, and crazed. When the fable turns dark, when the slasher film builds",32,"scary, and crazed. when the fable turns dark, when the slasher film builds"
"to primal horror, this is where the doomed children and wayward adoles­",32,"to primal horror, this is where the doomed children and wayward adoles­"
"cents must wander.There are things in here worse than wolves and witches,",32,"cents must wander.there are things in here worse than wolves and witches,"
primal fears that no amount of civilizing will ever tame.,32,primal fears that no amount of civilizing will ever tame.
"   The prodigious forest pulls her along,past the trunk of an immense west­",32,"   the prodigious forest pulls her along,past the trunk of an immense west­"
ern red cedar. Her hand strokes the fibrous strips that peel from a fluted trunk,32,ern red cedar. her hand strokes the fibrous strips that peel from a fluted trunk
whose girth rivals the height of an eastern dogwood.It reeks of incense. The,32,whose girth rivals the height of an eastern dogwood.it reeks of incense. the
"top has sheared off, replaced by a candelabra of boughs promoted to stand-in",32,"top has sheared off, replaced by a candelabra of boughs promoted to stand-in"
trunks.A grotto opens at ground level in the rotted heartwood.Whole families,32,trunks.a grotto opens at ground level in the rotted heartwood.whole families
"of mammals could live inside it. But the branches,a thousand years on, droop­",32,"of mammals could live inside it. but the branches,a thousand years on, droop­"
"ing with scaly sprays a dozen stories above her,are still crammed full of cones.",32,"ing with scaly sprays a dozen stories above her,are still crammed full of cones."
"   She addresses the cedar, using words of the forest's first humans. ""Long",32,"   she addresses the cedar, using words of the forest's first humans. ""long"
"Life Maker. I'm here. Down here."" She feels foolish, at first. But each word",32,"life maker. i'm here. down here."" she feels foolish, at first. but each word"
is a little easier than the next.,32,is a little easier than the next.
"   ""Thank you for the baskets and the boxes. Thank you for the capes and",32,"   ""thank you for the baskets and the boxes. thank you for the capes and"
hats and skirts.Thank you for the cradles. The beds.The diapers. Canoes.,32,hats and skirts.thank you for the cradles. the beds.the diapers. canoes.
"Paddles, harpoons, and nets. Poles, logs, posts. The rot-proof shakes and",32,"paddles, harpoons, and nets. poles, logs, posts. the rot-proof shakes and"
"shingles. The kindling that will always light.""",32,"shingles. the kindling that will always light."""
"   Each new item is release and relief.Finding no good reason to quit now,",32,"   each new item is release and relief.finding no good reason to quit now,"
"she lets the gratitude spill out. ""Thank you for the tools. The chests. The",32,"she lets the gratitude spill out. ""thank you for the tools. the chests. the"
"decking. The clothes closets. The paneling. I forget .... Thank you,"" she",32,"decking. the clothes closets. the paneling. i forget .... thank you,"" she"
"says,following the ancient formula. ""For all these gifts that you have given.""",32,"says,following the ancient formula. ""for all these gifts that you have given."""
"And still not knowing how to stop,she adds, ""We're sorry. We didn't know",32,"and still not knowing how to stop,she adds, ""we're sorry. we didn't know"
"how hard it is for you to grow back.""",32,"how hard it is for you to grow back."""
,32,
,32,
,32,
SHE FIND s w o R K with the Bureau of Land Management. Wilderness,32,she find s w o r k with the bureau of land management. wilderness
ranger.The job description seems as miraculous as the outsized trees: Help,32,ranger.the job description seems as miraculous as the outsized trees: help
,32,
                          136   • RICHARD POWERS,33,                          136   • richard powers
,33,
,33,
,33,
preserve and protect for present and future generations places where man is a,33,preserve and protect for present and future generations places where man is a
visitor who does not remain. The wild woman must don a uniform. But they,33,visitor who does not remain. the wild woman must don a uniform. but they
"pay her to be by herself, carry the welcome weight of a pack, read a topo­",33,"pay her to be by herself, carry the welcome weight of a pack, read a topo­"
"graphic map, dig a water bar, look for smoke and fire, teach folks to leave no",33,"graphic map, dig a water bar, look for smoke and fire, teach folks to leave no"
"trace, follow the rhythms of the land, and live wholly within the arc of the",33,"trace, follow the rhythms of the land, and live wholly within the arc of the"
"year. To clean up after humankind, yes. To gather the endless twisties, bag­",33,"year. to clean up after humankind, yes. to gather the endless twisties, bag­"
"gies, six-pack rings, foil, cans, and bottle caps strewn through meadows of",33,"gies, six-pack rings, foil, cans, and bottle caps strewn through meadows of"
"wildflower, on remote scenic outlooks, skewered in the boughs of noble firs,",33,"wildflower, on remote scenic outlooks, skewered in the boughs of noble firs,"
"under cold running streams, behind waterfalls. She would gladly pay the",33,"under cold running streams, behind waterfalls. she would gladly pay the"
"government, to do that much.",33,"government, to do that much."
"   Her supervisor apologizes for the state of the cabin they give her,",33,"   her supervisor apologizes for the state of the cabin they give her,"
"on the edge of an ancient cedar grove. There's no running water, and",33,"on the edge of an ancient cedar grove. there's no running water, and"
"the varmints outweigh the new biped in biomass, many times over. She",33,"the varmints outweigh the new biped in biomass, many times over. she"
can only laugh. ':You don't understand. You don't understand. It's the,33,can only laugh. ':you don't understand. you don't understand. it's the
"Alhambra.""",33,"alhambra."""
,33,
,33,
,33,
"TOMORRO W SHE'LL HIKE twenty-five miles, loosening the bolts on",33,"tomorro w she'll hike twenty-five miles, loosening the bolts on"
"the signs attached to trailside trees, so their cambium can keep growing.",33,"the signs attached to trailside trees, so their cambium can keep growing."
There's a spot on the other side of the ridge where the bark of a big spruce,33,there's a spot on the other side of the ridge where the bark of a big spruce
has swallowed an old Forest Service plaque from the forties that now says,33,has swallowed an old forest service plaque from the forties that now says
only BEWARE OF.,33,only beware of.
   The nightly rain starts. She goes out to the clearing and sits in the down­,33,   the nightly rain starts. she goes out to the clearing and sits in the down­
"pour, dressed only in a loose cotton shirt, listening to the wood put forth",33,"pour, dressed only in a loose cotton shirt, listening to the wood put forth"
"fresh cells. She comes back inside. In the kitchen, she lights the kerosene",33,"fresh cells. she comes back inside. in the kitchen, she lights the kerosene"
lamp with chunky strike-anywhere matches and takes the flame into the,33,lamp with chunky strike-anywhere matches and takes the flame into the
bedroom. The thump of a bushy-tailed wood rat telegraphs another raid on,33,bedroom. the thump of a bushy-tailed wood rat telegraphs another raid on
her worthless belongings. Last week it was a pair of barrettes. Too dark to,33,her worthless belongings. last week it was a pair of barrettes. too dark to
search for the latest missing loot tonight. She sponges off over the cold-water,33,search for the latest missing loot tonight. she sponges off over the cold-water
zinc basin in the corner and gets in bed. No sooner does her ear listen in,33,zinc basin in the corner and gets in bed. no sooner does her ear listen in
"to the musty pillow than she's transported to the ancestral vacation home,",33,"to the musty pillow than she's transported to the ancestral vacation home,"
where the future still radiates endless forms most beautiful.,33,where the future still radiates endless forms most beautiful.
,33,
                           THE OVERSTORY      •   137,34,                           the overstory      •   137
,34,
,34,
,34,
SHE w oR Ks for eleven blissful months. The wildlife never once threatens,34,she w or ks for eleven blissful months. the wildlife never once threatens
"her, and deranged campers do so only twice. In the constant rain, everything",34,"her, and deranged campers do so only twice. in the constant rain, everything"
grows mold. Monster trees suck up the downpour and respire it back into the,34,grows mold. monster trees suck up the downpour and respire it back into the
air as steam. Spores spread across every damp surface. Both her legs sport,34,air as steam. spores spread across every damp surface. both her legs sport
"athlete's foot up to the knees. Sometimes, when she lies down and closes her",34,"athlete's foot up to the knees. sometimes, when she lies down and closes her"
